emote,description,names
👷,"medium-dark skin tone, woman, worker, construction",woman construction worker: medium-dark skin tone
👦,"medium-light skin tone, boy, young",boy: medium-light skin tone
💮,flower,white flower
👦,"light skin tone, boy, young",boy: light skin tone
💭,"thought, comic, bubble, balloon",thought balloon
💬,"speech, comic, bubble, dialog, balloon",speech balloon
💫,"comic, star",dizzy
💪,"muscle, comic, flex, biceps",flexed biceps
💩,"poop, comic, poo, monster, face, dung",pile of poo
💨,"comic, running, dash",dashing away
💧,"comic, cold, drop, sweat",droplet
💦,"comic, sweat, splashing",sweat droplets
💥,"comic, boom",collision
💤,"comic, sleep",zzz
💣,comic,bomb
💆,"light skin tone, face, massage, man",man getting massage: light skin tone
💢,"comic, angry, mad",anger symbol
💡,"light, electric, comic, bulb, idea",light bulb
💠,"inside, comic, geometric, diamond",diamond with a dot
⛔,"forbidden, not, entry, traffic, prohibited, no",no entry
⛓,chain,chains
⛑,"hat, helmet, face, aid, cross",rescue worker’s helmet
🚵,"dark skin tone, bicycle, cyclist, bike, mountain, man",man mountain biking: dark skin tone
💁,"dark skin tone, sassy, tipping hand, man",man tipping hand: dark skin tone
🤦,"exasperation, disbelief, woman, facepalm, medium skin tone",woman facepalming: medium skin tone
⛏,"tool, mining",pick
⛎,"bearer, snake, zodiac, serpent",Ophiuchus
⛈,"cloud, rain, thunder",cloud with lightning and rain
🇯,flag,Japan
🇯,flag,Jordan
⛅,"cloud, sun",sun behind cloud
⛄,"cold, snowman, snow",snowman without snow
🇯,flag,Jamaica
⚾,ball,baseball
⚽,"soccer, football, ball",soccer ball
🇯,flag,Jersey
👩,"artist, palette, medium-light skin tone, woman",woman artist: medium-light skin tone
👩,"entertainer, medium-light skin tone, singer, actor, woman, star, rock",woman singer: medium-light skin tone
👯,"bunny ear, women, partying, dancer",women with bunny ears partying
⚱,"urn, death, funeral, ashes",funeral urn
⚰,death,coffin
💂,"dark skin tone, guard",guard: dark skin tone
💂,"medium-dark skin tone, guard",guard: medium-dark skin tone
💂,"guard, medium skin tone",guard: medium skin tone
💂,"medium-light skin tone, guard",guard: medium-light skin tone
⚫,"circle, geometric",black circle
💂,"light skin tone, guard",guard: light skin tone
💇,"light skin tone, woman, haircut",woman getting haircut: light skin tone
⚪,"circle, geometric",white circle
🚶,"dark skin tone, walk, woman, hike",woman walking: dark skin tone
✋,"dark skin tone, hand",raised hand: dark skin tone
✋,"hand, medium-dark skin tone",raised hand: medium-dark skin tone
✋,"hand, medium skin tone",raised hand: medium skin tone
✋,"hand, medium-light skin tone",raised hand: medium-light skin tone
✋,"light skin tone, hand",raised hand: light skin tone
⚡,"zap, electric, danger, lightning, electricity, voltage",high voltage
⚠,warning,warning
👳,"turban, medium skin tone, man",man wearing turban: medium skin tone
⁉,"exclamation, question, interrobang, punctuation, mark",exclamation question mark
👧,"dark skin tone, zodiac, young, virgo",girl: dark skin tone
👧,"medium-dark skin tone, zodiac, young, virgo",girl: medium-dark skin tone
👧,"zodiac, young, virgo, medium skin tone",girl: medium skin tone
💆,"woman, face, massage",woman getting massage
👧,"medium-light skin tone, zodiac, young, virgo",girl: medium-light skin tone
👧,"light skin tone, zodiac, young, virgo",girl: light skin tone
⛹,"medium-dark skin tone, woman, ball",woman bouncing ball: medium-dark skin tone
👱,"light skin tone, blond, man",blond-haired man: light skin tone
👨,"manager, business, office, medium-dark skin tone, architect, white-collar, man",man office worker: medium-dark skin tone
👨,"coder, developer, software, medium-dark skin tone, technologist, inventor, man",man technologist: medium-dark skin tone
🤽,"water polo, medium skin tone, man",man playing water polo: medium skin tone
‼,"exclamation, bangbang, punctuation, mark",double exclamation mark
🛀,"dark skin tone, bathtub, bath",person taking bath: dark skin tone
🛀,"medium-dark skin tone, bathtub, bath",person taking bath: medium-dark skin tone
🛀,"bathtub, bath, medium skin tone",person taking bath: medium skin tone
🛀,"medium-light skin tone, bathtub, bath",person taking bath: medium-light skin tone
🛀,"light skin tone, bathtub, bath",person taking bath: light skin tone
🙆,"hand, ok, gesture, medium-dark skin tone, man",man gesturing OK: medium-dark skin tone
🤹,"multitask, light skin tone, juggling, man",man juggling: light skin tone
🏄,"surfing, medium skin tone, man",man surfing: medium skin tone
🤾,"woman, medium skin tone, handball",woman playing handball: medium skin tone
💃,"dark skin tone, dancing, woman",woman dancing: dark skin tone
💃,"dancing, medium-dark skin tone, woman",woman dancing: medium-dark skin tone
💃,"dancing, woman, medium skin tone",woman dancing: medium skin tone
💃,"medium-light skin tone, dancing, woman",woman dancing: medium-light skin tone
💃,"light skin tone, dancing, woman",woman dancing: light skin tone
🤚,"dark skin tone, backhand, raised",raised back of hand: dark skin tone
🤚,"backhand, raised, medium-dark skin tone",raised back of hand: medium-dark skin tone
🤚,"backhand, raised, medium skin tone",raised back of hand: medium skin tone
🤚,"backhand, medium-light skin tone, raised",raised back of hand: medium-light skin tone
💟,heart,heart decoration
🤚,"light skin tone, backhand, raised",raised back of hand: light skin tone
💞,revolving,revolving hearts
💝,"valentine, ribbon",heart with ribbon
💜,purple,purple heart
💛,yellow,yellow heart
💚,green,green heart
✌,"dark skin tone, v, hand, victory",victory hand: dark skin tone
✌,"v, hand, medium-dark skin tone, victory",victory hand: medium-dark skin tone
✌,"v, hand, victory, medium skin tone",victory hand: medium skin tone
✌,"v, hand, medium-light skin tone, victory",victory hand: medium-light skin tone
✌,"v, light skin tone, hand, victory",victory hand: light skin tone
🙇,"favor, apology, gesture, medium-dark skin tone, woman, sorry, bowing",woman bowing: medium-dark skin tone
💙,blue,blue heart
💘,"cupid, arrow",heart with arrow
💗,"pulse, nervous, excited, growing",growing heart
💖,"excited, sparkle",sparkling heart
💕,love,two hearts
💔,"break, broken",broken heart
💓,"pulsating, heartbeat, beating",beating heart
💒,"romance, chapel",wedding
💑,"love, couple",couple with heart
💐,flower,bouquet
🙅,"hand, forbidden, medium-light skin tone, gesture, woman, prohibited, no",woman gesturing NO: medium-light skin tone
👨,"dark skin tone, man",man: dark skin tone
👨,"medium-dark skin tone, man",man: medium-dark skin tone
💏,couple,kiss
👨,"medium skin tone, man",man: medium skin tone
💎,"jewel, gem, diamond",gem stone
👨,"medium-light skin tone, man",man: medium-light skin tone
💍,diamond,ring
👷,"medium-dark skin tone, worker, man, construction",man construction worker: medium-dark skin tone
👨,"light skin tone, man",man: light skin tone
💌,"heart, mail, love, letter",love letter
💋,"kiss, lips",kiss mark
💊,"medicine, doctor, sick",pill
💉,"medicine, doctor, tool, shot, sick, needle",syringe
💈,"barber, pole, haircut",barber pole
💇,"parlor, beauty, barber, haircut",person getting haircut
💆,"salon, face, massage",person getting massage
💅,"care, polish, cosmetics, manicure, nail",nail polish
💄,"makeup, cosmetics",lipstick
💃,"dancing, woman",woman dancing
💂,guard,guard
💁,"hand, sassy, help, tipping, information",person tipping hand
💀,"fairy tale, death, monster, face",skull
👿,"fairy tale, devil, imp, fantasy, demon, face",angry face with horns
🏃,"racing, running, light skin tone, woman, marathon",woman running: light skin tone
👾,"creature, fairy tale, extraterrestrial, monster, fantasy, alien, face, ufo",alien monster
👽,"creature, fairy tale, extraterrestrial, monster, fantasy, face, ufo",alien
👼,"fairy tale, fantasy, face, baby, angel",baby angel
👻,"creature, fairy tale, monster, fantasy, face",ghost
🤦,"exasperation, disbelief, facepalm, medium skin tone, man",man facepalming: medium skin tone
👺,"creature, japanese, fairy tale, monster, fantasy, face",goblin
👹,"creature, japanese, fairy tale, monster, fantasy, face",ogre
👸,"fairy tale, fantasy",princess
👷,"hat, worker, construction",construction worker
👶,"young, baby",baby
👵,"old, woman",old woman
👩,"medium-light skin tone, graduate, student, woman",woman student: medium-light skin tone
👴,"old, man",old man
👳,turban,person wearing turban
👲,"hat, gua pi mao, man",man with Chinese cap
👷,"woman, worker, construction",woman construction worker
👱,blond,blond-haired person
👰,"bride, wedding, veil",bride with veil
👯,"bunny ear, partying, dancer",people with bunny ears partying
👮,"officer, police, cop",police officer
👭,"hand, couple, woman, hold",two women holding hands
👬,"twins, hand, gemini, couple, zodiac, hold, man",two men holding hands
👫,"hand, couple, woman, hold, man",man and woman holding hands
👪,family,family
⚜,fleur-de-lis,fleur-de-lis
⚛,"atom, atheist",atom symbol
👩,woman,woman
👨,man,man
👧,"zodiac, young, virgo",girl
👦,"boy, young",boy
👥,"bust, silhouette",busts in silhouette
⚙,tool,gear
👤,"bust, silhouette",bust in silhouette
👣,"print, footprint, clothing",footprints
⚗,"tool, chemistry",alembic
👢,"boot, woman, shoe, clothing",woman’s boot
⚖,"tool, libra, justice, weight, balance, zodiac, scales",balance scale
👡,"sandal, woman, shoe, clothing",woman’s sandal
⚕,"staff, medicine, aesculapius",medical symbol
👠,"heel, woman, shoe, clothing",high-heeled shoe
⚔,"weapon, swords, crossed",crossed swords
⚓,"tool, ship",anchor
⚒,"hammer, tool, pick",hammer and pick
👟,"sneaker, athletic, shoe, clothing",running shoe
👞,"shoe, clothing, man",man’s shoe
👝,"bag, pouch, clothing",clutch bag
👜,"purse, bag, clothing",handbag
🇺,flag,Uzbekistan
👛,"coin, clothing",purse
🙅,"dark skin tone, hand, forbidden, gesture, not, prohibited, no",person gesturing NO: dark skin tone
🇺,flag,Uruguay
👚,"woman, clothing",woman’s clothes
🙅,"hand, forbidden, gesture, medium-dark skin tone, not, prohibited, no",person gesturing NO: medium-dark skin tone
🙅,"hand, forbidden, gesture, not, prohibited, no, medium skin tone",person gesturing NO: medium skin tone
🙅,"hand, forbidden, medium-light skin tone, gesture, not, prohibited, no",person gesturing NO: medium-light skin tone
🙅,"light skin tone, hand, forbidden, gesture, not, prohibited, no",person gesturing NO: light skin tone
💇,"light skin tone, man, haircut",man getting haircut: light skin tone
🤛,"dark skin tone, leftwards, fist",left-facing fist: dark skin tone
👙,"swim, clothing",bikini
🤛,"leftwards, fist, medium-dark skin tone",left-facing fist: medium-dark skin tone
👘,clothing,kimono
🤛,"leftwards, fist, medium skin tone",left-facing fist: medium skin tone
👗,clothing,dress
🤛,"leftwards, fist, medium-light skin tone",left-facing fist: medium-light skin tone
👖,"pants, trousers, clothing",jeans
🤛,"light skin tone, leftwards, fist",left-facing fist: light skin tone
👕,"shirt, clothing, tshirt",t-shirt
👩,"cook, chef, medium-light skin tone, woman",woman cook: medium-light skin tone
🇺,flag,United States
👔,clothing,necktie
👓,"eye, eyewear, clothing, eyeglasses",glasses
👒,"hat, woman, clothing",woman’s hat
🚶,"dark skin tone, walk, hike, man",man walking: dark skin tone
👑,"king, queen, clothing",crown
✍,"dark skin tone, hand, write",writing hand: dark skin tone
👐,"hand, open",open hands
✍,"hand, write, medium-dark skin tone",writing hand: medium-dark skin tone
🇺,flag,United Nations
✍,"hand, write, medium skin tone",writing hand: medium skin tone
🇺,flag,U.S. Outlying Islands
✍,"hand, medium-light skin tone, write",writing hand: medium-light skin tone
✍,"light skin tone, hand, write",writing hand: light skin tone
👏,"clap, hand",clapping hands
👎,"thumb, hand, -1, down",thumbs down
👍,"up, thumb, hand, +1",thumbs up
👌,"hand, ok",OK hand
👋,"hand, waving, wave",waving hand
♿,access,wheelchair symbol
👊,"hand, fist, punch, clenched",oncoming fist
🇺,flag,Uganda
🙍,"frowning, gesture, woman",woman frowning
♻,recycle,recycling symbol
👉,"point, hand, backhand, index, finger",backhand index pointing right
👈,"point, hand, backhand, index, finger",backhand index pointing left
👇,"point, hand, backhand, index, finger, down",backhand index pointing down
👩,"dark skin tone, woman",woman: dark skin tone
👆,"up, point, hand, backhand, index, finger",backhand index pointing up
👩,"medium-dark skin tone, woman",woman: medium-dark skin tone
👅,body,tongue
👩,"woman, medium skin tone",woman: medium skin tone
👄,lips,mouth
👩,"medium-light skin tone, woman",woman: medium-light skin tone
👃,body,nose
👩,"light skin tone, woman",woman: light skin tone
🇺,flag,Ukraine
👂,body,ear
👁,body,eye
🙍,"light skin tone, frowning, gesture, woman",woman frowning: light skin tone
👀,"eye, face",eyes
⛹,"medium-dark skin tone, ball, man",man bouncing ball: medium-dark skin tone
👮,"officer, medium-dark skin tone, woman, police, cop",woman police officer: medium-dark skin tone
🐿,chipmunk,chipmunk
🐾,"paw, print, feet",paw prints
🐽,"nose, face, pig",pig nose
🐼,"face, panda",panda face
🐻,"face, bear",bear face
🐺,"wolf, face",wolf face
🐹,"pet, face, hamster",hamster face
🐸,"frog, face",frog face
🐷,"face, pig",pig face
🐶,"pet, dog, face",dog face
🐵,"monkey, face",monkey face
🐴,"horse, face",horse face
♨,"hotsprings, steaming, springs, hot",hot springs
🐳,"spouting, whale, face",spouting whale
🐲,"fairy tale, dragon, face",dragon face
♦,"game, card",diamond suit
🐱,"pet, cat, face",cat face
♥,"game, card",heart suit
🐰,"pet, bunny, face, rabbit",rabbit face
♣,"game, card",club suit
♠,"game, card",spade suit
🐯,"tiger, face",tiger face
🐮,"cow, face",cow face
🐭,"mouse, face",mouse face
🐬,flipper,dolphin
🐫,"bactrian, camel, hump",two-hump camel
🐪,"hump, dromedary",camel
👨,"firetruck, firefighter, man",man firefighter
🐩,dog,poodle
🐨,bear,koala
🐧,penguin,penguin
🐦,bird,bird
🐥,"chick, baby",front-facing baby chick
🐤,"chick, baby",baby chick
🐣,"hatching, chick, baby",hatching chick
🐢,"turtle, tortoise, terrapin",turtle
💁,"sassy, woman, tipping hand, medium skin tone",woman tipping hand: medium skin tone
🚵,"bicycle, cyclist, bike, mountain, woman, biking, medium skin tone",woman mountain biking: medium skin tone
🐡,fish,blowfish
🐠,"fish, tropical",tropical fish
♓,"fish, zodiac",Pisces
♒,"water, bearer, zodiac",Aquarius
♑,"goat, zodiac",Capricorn
♐,"archer, zodiac",Sagittarius
👩,"farmer, gardener, medium-light skin tone, woman, rancher",woman farmer: medium-light skin tone
🐟,"zodiac, pisces",fish
🐞,"ladybird, beetle, ladybug, insect",lady beetle
🐝,"bee, insect",honeybee
🐜,insect,ant
🐛,insect,bug
♏,"scorpion, scorpio, zodiac",Scorpius
🐚,"shell, spiral",spiral shell
♎,"justice, balance, zodiac, scales",Libra
♍,zodiac,Virgo
♌,"lion, zodiac",Leo
♋,"crab, zodiac",Cancer
♊,"twins, zodiac",Gemini
👨,"mathematician, engineer, physicist, chemist, biologist, scientist, medium skin tone, man",man scientist: medium skin tone
🐙,octopus,octopus
🐘,elephant,elephant
👨,"rocket, astronaut, man",man astronaut
🐗,pig,boar
🐖,sow,pig
🐕,pet,dog
♉,"ox, bull, zodiac",Taurus
🐔,chicken,chicken
👩,"firetruck, medium-dark skin tone, firefighter, woman",woman firefighter: medium-dark skin tone
♈,"ram, zodiac",Aries
🐓,rooster,rooster
🐒,monkey,monkey
🙆,"dark skin tone, hand, ok, gesture",person gesturing OK: dark skin tone
🤾,"medium skin tone, man, handball",man playing handball: medium skin tone
🐑,ewe,sheep
🙆,"hand, ok, gesture, medium-dark skin tone",person gesturing OK: medium-dark skin tone
💅,"dark skin tone, care, polish, cosmetics, manicure, nail",nail polish: dark skin tone
🐐,"zodiac, capricorn",goat
🙆,"hand, ok, gesture, medium skin tone",person gesturing OK: medium skin tone
💅,"care, polish, medium-dark skin tone, cosmetics, manicure, nail",nail polish: medium-dark skin tone
🙆,"hand, ok, medium-light skin tone, gesture",person gesturing OK: medium-light skin tone
💅,"care, polish, cosmetics, manicure, nail, medium skin tone",nail polish: medium skin tone
🙆,"light skin tone, hand, ok, gesture",person gesturing OK: light skin tone
🇻,flag,Vanuatu
💅,"care, polish, medium-light skin tone, cosmetics, manicure, nail",nail polish: medium-light skin tone
👨,"electrician, tradesperson, plumber, mechanic, medium skin tone, man",man mechanic: medium skin tone
♂,man,male sign
💅,"light skin tone, care, polish, cosmetics, manicure, nail",nail polish: light skin tone
♀,woman,female sign
🤜,"dark skin tone, fist, rightwards",right-facing fist: dark skin tone
🤜,"fist, rightwards, medium-dark skin tone",right-facing fist: medium-dark skin tone
🐏,"aries, zodiac, sheep",ram
🤜,"fist, rightwards, medium skin tone",right-facing fist: medium skin tone
🐎,"racing, equestrian, racehorse",horse
🤜,"fist, medium-light skin tone, rightwards",right-facing fist: medium-light skin tone
🐍,"ophiuchus, bearer, zodiac, serpent",snake
🤜,"light skin tone, fist, rightwards",right-facing fist: light skin tone
🐌,snail,snail
🐋,whale,whale
🐊,crocodile,crocodile
🇻,flag,Vietnam
☺,"smile, relaxed, outlined, face",smiling face
🙇,"favor, apology, gesture, medium-dark skin tone, sorry, bowing, man",man bowing: medium-dark skin tone
🐉,fairy tale,dragon
🐈,pet,cat
🐇,"pet, bunny",rabbit
🐆,leopard,leopard
🐅,tiger,tiger
☹,"face, frown",frowning face
🐄,cow,cow
☸,"buddhist, wheel, religion, dharma",wheel of dharma
🐃,"water, buffalo",water buffalo
🐂,"bull, zodiac, taurus",ox
👩,"rocket, medium-dark skin tone, woman, astronaut",woman astronaut: medium-dark skin tone
🇻,flag,U.S. Virgin Islands
🐁,mouse,mouse
🐀,rat,rat
🇻,flag,British Virgin Islands
🇻,flag,Venezuela
🙅,"hand, forbidden, medium-light skin tone, gesture, prohibited, no, man",man gesturing NO: medium-light skin tone
🇻,flag,St. Vincent & Grenadines
🇻,flag,Vatican City
☯,"yin, yang, tao, taoist, religion",yin yang
☮,peace,peace symbol
🕵,"sleuth, spy, woman, detective",woman detective
☪,"islam, religion, muslim",star and crescent
☦,"religion, christian, cross",orthodox cross
☣,"sign, biohazard",biohazard
☢,"radioactive, sign",radioactive
☠,"death, monster, face, skull, crossbones",skull and crossbones
🏃,"racing, running, light skin tone, marathon, man",man running: light skin tone
👳,"light skin tone, turban, woman",woman wearing turban: light skin tone
☝,"up, point, hand, index, finger",index pointing up
☘,plant,shamrock
🤽,"light skin tone, woman, water polo",woman playing water polo: light skin tone
☕,"beverage, tea, steaming, drink, hot, coffee",hot beverage
👷,"worker, man, construction",man construction worker
☔,"drop, umbrella, rain, clothing",umbrella with rain drops
☑,"ballot, check, box",ballot box with check
☎,phone,telephone
🙆,"hand, ok, medium-light skin tone, gesture, woman",woman gesturing OK: medium-light skin tone
☄,space,comet
☃,"cold, snow",snowman
☂,"rain, clothing",umbrella
☁,weather,cloud
☀,"rays, bright, sunny",sun
🙇,"dark skin tone, apology, gesture, sorry, bow",person bowing: dark skin tone
🙇,"apology, gesture, medium-dark skin tone, sorry, bow",person bowing: medium-dark skin tone
🙇,"apology, gesture, sorry, bow, medium skin tone",person bowing: medium skin tone
💆,"dark skin tone, salon, face, massage",person getting massage: dark skin tone
🙇,"apology, medium-light skin tone, gesture, sorry, bow",person bowing: medium-light skin tone
💆,"salon, medium-dark skin tone, face, massage",person getting massage: medium-dark skin tone
🙇,"light skin tone, apology, gesture, sorry, bow",person bowing: light skin tone
💆,"salon, face, medium skin tone, massage",person getting massage: medium skin tone
💆,"salon, medium-light skin tone, face, massage",person getting massage: medium-light skin tone
💆,"salon, light skin tone, face, massage",person getting massage: light skin tone
🇼,flag,Samoa
🏄,"light skin tone, woman, surfing",woman surfing: light skin tone
👨,"family, boy, woman, man","family: man, woman, boy, boy"
🇼,flag,Wallis & Futuna
🙍,"frowning, gesture, man",man frowning
👮,"officer, medium-dark skin tone, police, man, cop",man police officer: medium-dark skin tone
9,keycap,keycap: 9
5,keycap,keycap: 5
🤷,"medium-dark skin tone, indifference, shrug, ignorance, man, doubt",man shrugging: medium-dark skin tone
1,keycap,keycap: 1
👷,"medium-light skin tone, woman, worker, construction",woman construction worker: medium-light skin tone
👩,"industrial, light skin tone, factory, assembly, woman, worker",woman factory worker: light skin tone
👩,"instructor, professor, light skin tone, woman, teacher",woman teacher: light skin tone
💁,"sassy, tipping hand, medium skin tone, man",man tipping hand: medium skin tone
🚵,"bicycle, cyclist, bike, mountain, medium skin tone, man",man mountain biking: medium skin tone
🤦,"light skin tone, exasperation, disbelief, woman, facepalm",woman facepalming: light skin tone
🏌,"medium-dark skin tone, woman, golf",woman golfing: medium-dark skin tone
💇,"dark skin tone, parlor, beauty, barber, haircut",person getting haircut: dark skin tone
💇,"parlor, beauty, barber, medium-dark skin tone, haircut",person getting haircut: medium-dark skin tone
💇,"parlor, beauty, barber, medium skin tone, haircut",person getting haircut: medium skin tone
💇,"parlor, medium-light skin tone, beauty, barber, haircut",person getting haircut: medium-light skin tone
💇,"light skin tone, parlor, beauty, barber, haircut",person getting haircut: light skin tone
🤞,"dark skin tone, luck, hand, finger, cross",crossed fingers: dark skin tone
🏿,"type 6, skin tone",dark skin tone
🤞,"luck, hand, medium-dark skin tone, finger, cross",crossed fingers: medium-dark skin tone
🏾,"type 5, skin tone",medium-dark skin tone
🤞,"luck, hand, finger, medium skin tone, cross",crossed fingers: medium skin tone
🏽,"type 4, skin tone",medium skin tone
🤞,"luck, hand, medium-light skin tone, finger, cross",crossed fingers: medium-light skin tone
🏼,"type 3, skin tone",medium-light skin tone
🤞,"luck, light skin tone, hand, finger, cross",crossed fingers: light skin tone
🤸,"gymnastics, medium-dark skin tone, woman, cartwheel",woman cartwheeling: medium-dark skin tone
🏻,"skin tone, type 1–2",light skin tone
🏺,"tool, jug, cooking, weapon, drink, zodiac, aquarius",amphora
👩,"mathematician, engineer, woman, physicist, chemist, biologist, scientist",woman scientist
🇽,flag,Kosovo
🏹,"tool, archery, weapon, bow, arrow, archer, zodiac, sagittarius",bow and arrow
🏸,"racquet, game, shuttlecock, birdie",badminton
🏷,label,label
🏵,plant,rosette
🏴,waving,black flag
👩,"electrician, tradesperson, plumber, woman, mechanic",woman mechanic
🏳,waving,white flag
🏰,european,castle
🏯,"japanese, castle",Japanese castle
🏮,"light, japanese, lantern, bar, red",red paper lantern
🏭,building,factory
🏬,"store, department",department store
🏫,building,school
🏪,"store, convenience",convenience store
🕵,"sleuth, spy, detective, man",man detective
👩,"mathematician, engineer, dark skin tone, woman, physicist, chemist, biologist, scientist",woman scientist: dark skin tone
🚶,"walk, woman, hike, medium skin tone",woman walking: medium skin tone
🏩,"love, hotel",love hotel
🏨,building,hotel
🏧,"bank, automated, atm, teller",ATM sign
🏦,building,bank
🏥,"medicine, doctor",hospital
🏤,"european, post",post office
🏣,"japanese, post",Japanese post office
🏢,building,office building
🏡,"house, garden, home",house with garden
🏠,"house, home",house
👩,"dark skin tone, electrician, tradesperson, plumber, woman, mechanic",woman mechanic: dark skin tone
🏟,stadium,stadium
🏞,park,national park
🏝,"desert, island",desert island
🏜,desert,desert
🏛,classical,classical building
👳,"light skin tone, turban, man",man wearing turban: light skin tone
🏚,"derelict, house",derelict house
👊,"dark skin tone, hand, fist, punch, clenched",oncoming fist: dark skin tone
👊,"hand, fist, medium-dark skin tone, punch, clenched",oncoming fist: medium-dark skin tone
👊,"hand, fist, punch, clenched, medium skin tone",oncoming fist: medium skin tone
🏙,city,cityscape
👊,"hand, fist, medium-light skin tone, punch, clenched",oncoming fist: medium-light skin tone
🏘,house,house
👊,"light skin tone, hand, fist, punch, clenched",oncoming fist: light skin tone
⛹,"medium-light skin tone, woman, ball",woman bouncing ball: medium-light skin tone
🏗,construction,building construction
🏖,"beach, umbrella",beach with umbrella
🏕,camping,camping
🏔,"cold, mountain, snow",snow-capped mountain
🏓,"game, table tennis, bat, ping pong, paddle, ball",ping pong
🏒,"stick, puck, game, ice, hockey",ice hockey
🏑,"stick, game, hockey, field, ball",field hockey
🏐,"game, ball",volleyball
🤽,"light skin tone, water polo, man",man playing water polo: light skin tone
🏏,"game, bat, ball",cricket
👩,"artist, palette, light skin tone, woman",woman artist: light skin tone
🏎,"racing, car",racing car
🏍,racing,motorcycle
👨,"dark skin tone, justice, scales, man",man judge: dark skin tone
🏌,"ball, golf",person golfing
🏋,"lifter, weight",person lifting weights
👩,"light skin tone, entertainer, singer, actor, woman, star, rock",woman singer: light skin tone
🏊,swim,person swimming
◾,"square, geometric",black medium-small square
◽,"square, geometric",white medium-small square
◼,"square, geometric",black medium square
◻,"square, geometric",white medium square
👨,"plane, pilot, man",man pilot
🏉,"football, rugby, ball",rugby football
🏈,"football, ball, american",american football
🏇,"racing, jockey, horse, racehorse",horse racing
🙆,"hand, ok, medium-light skin tone, gesture, man",man gesturing OK: medium-light skin tone
🏆,prize,trophy
🏅,medal,sports medal
🏄,surfing,person surfing
🏃,"running, marathon",person running
🏂,"ski, snowboard, snow",snowboarder
🏁,"checkered, racing, chequered",chequered flag
🏀,"hoop, ball",basketball
⛹,"woman, ball",woman bouncing ball
🎿,"ski, snow",skis
🎾,"racquet, ball",tennis
🎽,"running, shirt, sash, athletics",running shirt
🎼,"music, score",musical score
🎻,"instrument, music",violin
🎺,"instrument, music",trumpet
🎹,"piano, keyboard, instrument, music",musical keyboard
🎸,"instrument, music",guitar
🎷,"instrument, music, sax",saxophone
🎶,"notes, note, music",musical notes
🎵,"note, music",musical note
🇾,flag,Mayotte
🎴,"japanese, game, flower, card, playing",flower playing cards
🎳,"game, ball",bowling
🎲,"game, dice, die",game die
🎱,"8 ball, game, eight, billiard, ball, 8",pool 8 ball
🎰,"game, slot",slot machine
🙋,"gesture, medium-dark skin tone, woman, raising hand",woman raising hand: medium-dark skin tone
🏄,"light skin tone, surfing, man",man surfing: light skin tone
🎯,"eye, game, bull, dart, hit, bullseye, target",direct hit
🎮,"controller, game",video game
🎭,"mask, performing, theatre, art, theater",performing arts
🎬,"movie, clapper",clapper board
🎫,admission,ticket
🎪,"tent, circus",circus tent
🇾,flag,Yemen
🤾,"light skin tone, woman, handball",woman playing handball: light skin tone
👨,"manager, business, office, architect, white-collar, medium skin tone, man",man office worker: medium skin tone
🎩,"hat, top, clothing, tophat",top hat
👨,"coder, developer, software, technologist, inventor, medium skin tone, man",man technologist: medium skin tone
🎨,"palette, museum, painting, art",artist palette
🎧,earbud,headphone
🎦,"movie, camera, film",cinema
🎥,"movie, camera, cinema",movie camera
🎤,"mic, karaoke",microphone
🎣,"fish, pole",fishing pole
🎢,"roller, coaster, amusement park",roller coaster
🎡,"ferris, wheel, amusement park",ferris wheel
🎠,"horse, carousel",carousel horse
💆,"medium-dark skin tone, woman, face, massage",woman getting massage: medium-dark skin tone
🙇,"favor, apology, medium-light skin tone, gesture, woman, sorry, bowing",woman bowing: medium-light skin tone
👨,"industrial, factory, assembly, medium-dark skin tone, worker, man",man factory worker: medium-dark skin tone
🙎,"dark skin tone, pouting, gesture, man",man pouting: dark skin tone
👨,"instructor, professor, medium-dark skin tone, teacher, man",man teacher: medium-dark skin tone
👋,"dark skin tone, hand, waving, wave",waving hand: dark skin tone
👷,"medium-light skin tone, worker, man, construction",man construction worker: medium-light skin tone
◀,"reverse, arrow, triangle, left",reverse button
👋,"hand, waving, wave, medium-dark skin tone",waving hand: medium-dark skin tone
👋,"hand, waving, wave, medium skin tone",waving hand: medium skin tone
👋,"hand, medium-light skin tone, waving, wave",waving hand: medium-light skin tone
👋,"light skin tone, hand, waving, wave",waving hand: light skin tone
🤽,"woman, water polo",woman playing water polo
▶,"right, arrow, triangle, play",play button
🤦,"light skin tone, exasperation, disbelief, facepalm, man",man facepalming: light skin tone
🏌,"medium-dark skin tone, golf, man",man golfing: medium-dark skin tone
▫,"square, geometric",white small square
▪,"square, geometric",black small square
🇿,flag,Zimbabwe
〽,"part, mark",part alternation mark
🤸,"gymnastics, medium-dark skin tone, cartwheel, man",man cartwheeling: medium-dark skin tone
🇿,flag,Zambia
〰,"wavy, punctuation, dash",wavy dash
👱,"medium-dark skin tone, woman, blonde",blond-haired woman: medium-dark skin tone
🇿,flag,South Africa
👩,"dark skin tone, doctor, nurse, healthcare, woman, therapist",woman health worker: dark skin tone
🚶,"walk, hike, medium skin tone, man",man walking: medium skin tone
🙋,"gesture, woman, raising hand",woman raising hand
👨,"artist, palette, medium-dark skin tone, man",man artist: medium-dark skin tone
👩,"light skin tone, graduate, student, woman",woman student: light skin tone
